task_id,project_id,sequence_id,shot_id,department,estimated_hours,priority,start_date,end_date,status
T4284,P002,SQ041,SH1086,FX,177,High,2023-09-17,2023-09-19,Completed
T4285,P002,SQ041,SH1086,Lighting,153,High,2023-09-10,2023-09-26,Completed
T4286,P002,SQ041,SH1086,Compositing,66,Medium,2023-09-11,2023-09-16,Completed
T4287,P002,SQ041,SH1087,Modeling,158,High,2023-09-15,2023-09-30,Completed
T4288,P002,SQ041,SH1087,Rigging,136,High,2023-09-04,2023-09-11,Completed
T4289,P002,SQ041,SH1087,Animation,115,Medium,2023-09-08,2023-09-23,Completed
T4290,P002,SQ041,SH1087,CFX,97,High,2023-09-13,2023-09-27,Completed
T4291,P002,SQ041,SH1087,FX,90,High,2023-08-28,2023-09-18,Completed
T4292,P002,SQ041,SH1087,Lighting,98,High,2023-09-07,2023-10-05,Completed
T4293,P002,SQ041,SH1087,Compositing,185,Medium,2023-09-16,2023-09-17,Completed
T4294,P002,SQ041,SH1088,Modeling,111,High,2023-08-19,2023-08-28,Completed
T4295,P002,SQ041,SH1088,Rigging,114,High,2023-08-20,2023-08-30,Completed
T4296,P002,SQ041,SH1088,Animation,187,High,2023-08-17,2023-08-20,Completed
T4297,P002,SQ041,SH1088,CFX,143,High,2023-08-18,2023-08-22,Completed
T4298,P002,SQ041,SH1088,FX,186,High,2023-08-17,2023-08-21,Completed
T4299,P002,SQ041,SH1088,Lighting,159,Medium,2023-08-17,2023-08-24,Completed
T4300,P002,SQ041,SH1088,Compositing,77,High,2023-08-17,2023-08-26,Completed
T4301,P002,SQ041,SH1089,Animation,45,Medium,2023-08-18,2023-08-29,Completed
T4302,P002,SQ041,SH1089,Lighting,24,Medium,2023-08-31,2023-09-09,Completed
T4303,P002,SQ041,SH1089,Compositing,49,High,2023-08-24,2023-09-17,Completed
T4304,P002,SQ041,SH1090,Animation,56,Medium,2023-09-18,2023-09-19,Completed
T4305,P002,SQ041,SH1090,CFX,37,Medium,2023-09-19,2023-09-20,Completed
T4306,P002,SQ041,SH1090,Lighting,47,High,2023-09-20,2023-09-21,Completed
T4307,P002,SQ041,SH1090,Compositing,38,High,2023-09-20,2023-09-24,Completed
T4308,P002,SQ041,SH1091,Animation,24,Medium,2023-09-18,2023-10-08,Completed
T4309,P002,SQ041,SH1091,CFX,38,Low,2023-09-21,2023-09-30,Completed
T4310,P002,SQ041,SH1091,Lighting,49,Medium,2023-09-18,2023-09-27,Completed
T4311,P002,SQ041,SH1091,Compositing,22,Medium,2023-09-07,2023-09-29,Completed
T4312,P002,SQ041,SH1092,Animation,30,High,2023-09-17,2023-09-20,Completed
T4313,P002,SQ041,SH1092,CFX,53,Medium,2023-09-20,2023-09-23,Completed
T4314,P002,SQ041,SH1092,Lighting,46,Medium,2023-09-19,2023-09-25,Completed
T4315,P002,SQ041,SH1092,Compositing,32,Medium,2023-09-17,2023-09-21,Completed
T4316,P002,SQ041,SH1093,Animation,31,Medium,2023-08-31,2023-09-05,Completed
T4317,P002,SQ041,SH1093,FX,53,Low,2023-08-19,2023-09-15,Completed
T4318,P002,SQ041,SH1093,Lighting,31,High,2023-08-27,2023-09-14,Completed
T4319,P002,SQ041,SH1093,Compositing,42,High,2023-08-25,2023-08-31,Completed
T4320,P002,SQ041,SH1094,Animation,32,Medium,2023-09-01,2023-09-10,Completed
T4321,P002,SQ041,SH1094,CFX,26,Medium,2023-09-01,2023-09-03,Completed
T4322,P002,SQ041,SH1094,Lighting,49,Low,2023-09-03,2023-09-08,Completed
T4323,P002,SQ041,SH1094,Compositing,39,Low,2023-09-02,2023-09-11,Completed
T4324,P002,SQ041,SH1095,Lighting,10,Low,2023-08-18,2023-10-09,Completed
T4325,P002,SQ041,SH1095,Compositing,13,Medium,2023-09-15,2023-10-11,Completed
T4326,P002,SQ041,SH1096,Animation,20,Medium,2023-08-22,2023-09-17,Completed
T4327,P002,SQ041,SH1096,FX,53,Medium,2023-08-25,2023-08-27,Completed
T4328,P002,SQ041,SH1096,Lighting,38,Medium,2023-08-20,2023-08-21,Completed
T4329,P002,SQ041,SH1096,Compositing,55,High,2023-08-28,2023-09-12,Completed
T4330,P002,SQ041,SH1097,Modeling,63,Medium,2023-08-27,2023-10-12,Completed
T4331,P002,SQ041,SH1097,Rigging,62,High,2023-08-24,2023-08-25,Completed
T4332,P002,SQ041,SH1097,Animation,152,High,2023-09-03,2023-10-06,Completed
T4333,P002,SQ041,SH1097,CFX,198,High,2023-08-16,2023-09-16,Completed
T4334,P002,SQ041,SH1097,FX,187,High,2023-09-08,2023-09-25,Completed
T4335,P002,SQ041,SH1097,Lighting,152,High,2023-09-03,2023-09-21,Completed
T4336,P002,SQ041,SH1097,Compositing,112,Medium,2023-08-22,2023-09-27,Completed
T4337,P002,SQ041,SH1098,Lighting,14,Low,2023-09-18,2023-09-20,Completed
T4338,P002,SQ041,SH1098,Compositing,9,Low,2023-09-18,2023-09-21,Completed
T4339,P002,SQ041,SH1099,Modeling,104,Medium,2023-09-15,2023-09-20,Completed
T4340,P002,SQ041,SH1099,Rigging,63,High,2023-09-11,2023-09-19,Completed
T4341,P002,SQ041,SH1099,Animation,143,High,2023-09-14,2023-09-21,Completed
T4342,P002,SQ041,SH1099,CFX,94,High,2023-09-14,2023-09-25,Completed
T4343,P002,SQ041,SH1099,FX,100,High,2023-09-16,2023-09-19,Completed
T4344,P002,SQ041,SH1099,Lighting,84,Medium,2023-09-12,2023-09-23,Completed
T4345,P002,SQ041,SH1099,Compositing,140,High,2023-09-09,2023-09-20,Completed
T4346,P002,SQ041,SH1100,Lighting,5,Low,2023-09-11,2023-09-27,Completed
T4347,P002,SQ041,SH1100,Compositing,9,Medium,2023-09-14,2023-09-19,Completed
T4348,P002,SQ041,SH1101,Animation,19,Medium,2023-08-30,2023-09-03,Completed
T4349,P002,SQ041,SH1101,Lighting,6,Low,2023-08-26,2023-09-02,Completed
T4350,P002,SQ041,SH1101,Compositing,19,Low,2023-08-27,2023-09-17,Completed
T4351,P002,SQ041,SH1102,Animation,19,Low,2023-09-28,2023-10-12,Completed
T4352,P002,SQ041,SH1102,Lighting,18,Low,2023-09-23,2023-10-04,Completed
T4353,P002,SQ041,SH1102,Compositing,15,Medium,2023-09-20,2023-10-02,Completed
T4354,P002,SQ041,SH1103,Animation,54,Medium,2023-09-01,2023-09-26,Completed
T4355,P002,SQ041,SH1103,FX,55,Medium,2023-08-31,2023-09-09,Completed
T4356,P002,SQ041,SH1103,Lighting,38,Medium,2023-08-31,2023-09-06,Completed
T4357,P002,SQ041,SH1103,Compositing,56,Low,2023-09-04,2023-09-05,Completed
T4358,P002,SQ041,SH1104,Animation,44,Medium,2023-08-26,2023-10-02,Completed
T4359,P002,SQ041,SH1104,Lighting,45,High,2023-09-01,2023-09-07,Completed
T4360,P002,SQ041,SH1104,Compositing,57,High,2023-08-28,2023-09-26,Completed
T4361,P002,SQ041,SH1105,Lighting,15,Low,2023-09-06,2023-09-08,Completed
T4362,P002,SQ041,SH1105,Compositing,14,Low,2023-09-09,2023-09-18,Completed
T4363,P002,SQ041,SH1106,Modeling,114,High,2023-09-14,2023-09-29,Completed
T4364,P002,SQ041,SH1106,Rigging,181,High,2023-09-05,2023-09-13,Completed
T4365,P002,SQ041,SH1106,Animation,109,High,2023-09-15,2023-09-23,Completed
T4366,P002,SQ041,SH1106,CFX,175,High,2023-09-20,2023-10-03,Completed
T4367,P002,SQ041,SH1106,FX,151,High,2023-09-06,2023-09-29,Completed
T4368,P002,SQ041,SH1106,Lighting,139,High,2023-09-21,2023-10-11,Completed
T4369,P002,SQ041,SH1106,Compositing,60,High,2023-09-13,2023-09-24,Completed
T4370,P002,SQ041,SH1107,Animation,59,Low,2023-09-17,2023-09-23,Completed
T4371,P002,SQ041,SH1107,Lighting,24,Medium,2023-09-16,2023-10-03,Completed
T4372,P002,SQ041,SH1107,Compositing,21,Medium,2023-09-22,2023-09-29,Completed
T4373,P002,SQ041,SH1108,Modeling,181,High,2023-09-13,2023-09-19,Completed
T4374,P002,SQ041,SH1108,Rigging,159,High,2023-08-27,2023-09-12,Completed
T4375,P002,SQ041,SH1108,Animation,153,High,2023-09-14,2023-09-19,Completed
T4376,P002,SQ041,SH1108,CFX,152,High,2023-08-20,2023-10-14,Completed
T4377,P002,SQ041,SH1108,FX,138,High,2023-08-20,2023-09-19,Completed
T4378,P002,SQ041,SH1108,Lighting,84,High,2023-09-02,2023-10-04,Completed
T4379,P002,SQ041,SH1108,Compositing,149,High,2023-08-22,2023-10-06,Completed
T4380,P002,SQ041,SH1109,Modeling,196,High,2023-09-10,2023-09-17,Completed
T4381,P002,SQ041,SH1109,Rigging,60,High,2023-09-09,2023-09-18,Completed
T4382,P002,SQ041,SH1109,Animation,199,High,2023-09-10,2023-09-13,Completed
T4383,P002,SQ041,SH1109,CFX,98,High,2023-09-08,2023-09-19,Completed
T4384,P002,SQ041,SH1109,FX,79,Medium,2023-09-11,2023-09-18,Completed
T4385,P002,SQ041,SH1109,Lighting,122,Medium,2023-09-08,2023-09-18,Completed
T4386,P002,SQ041,SH1109,Compositing,63,Medium,2023-09-12,2023-09-16,Completed
T4387,P002,SQ041,SH1110,Animation,57,Medium,2023-09-15,2023-09-25,Completed
T4388,P002,SQ041,SH1110,CFX,46,High,2023-09-27,2023-10-02,Completed
T4389,P002,SQ041,SH1110,Lighting,59,High,2023-09-26,2023-10-11,Completed
T4390,P002,SQ041,SH1110,Compositing,41,Low,2023-09-17,2023-09-29,Completed
T4391,P002,SQ041,SH1111,Lighting,15,Low,2023-09-09,2023-09-16,Completed
T4392,P002,SQ041,SH1111,Compositing,11,Low,2023-09-08,2023-09-11,Completed
T4393,P002,SQ041,SH1112,Animation,38,Medium,2023-09-21,2023-09-23,Completed
T4394,P002,SQ041,SH1112,FX,36,Medium,2023-09-18,2023-09-28,Completed
T4395,P002,SQ041,SH1112,Lighting,29,High,2023-09-19,2023-09-30,Completed
T4396,P002,SQ041,SH1112,Compositing,24,High,2023-09-16,2023-09-17,Completed
T4397,P002,SQ041,SH1113,Lighting,18,Low,2023-08-25,2023-08-26,Completed
T4398,P002,SQ041,SH1113,Compositing,10,Low,2023-08-24,2023-08-28,Completed
T4399,P002,SQ041,SH1114,Animation,22,Low,2023-08-26,2023-09-04,Completed
T4400,P002,SQ041,SH1114,Lighting,45,Medium,2023-09-07,2023-09-28,Completed
T4401,P002,SQ041,SH1114,Compositing,25,Medium,2023-08-21,2023-09-22,Completed
T4402,P002,SQ041,SH1115,Animation,30,High,2023-09-17,2023-10-09,Completed
T4403,P002,SQ041,SH1115,CFX,41,Medium,2023-09-14,2023-09-15,Completed
T4404,P002,SQ041,SH1115,Lighting,59,High,2023-09-04,2023-09-15,Completed
T4405,P002,SQ041,SH1115,Compositing,25,Medium,2023-09-09,2023-09-28,Completed
T4406,P002,SQ041,SH1116,Animation,19,Medium,2023-09-02,2023-09-05,Completed
T4407,P002,SQ041,SH1116,Lighting,10,Low,2023-09-01,2023-09-02,Completed
T4408,P002,SQ041,SH1116,Compositing,6,Low,2023-09-02,2023-09-07,Completed
T4409,P002,SQ041,SH1117,Lighting,16,Low,2023-09-07,2023-09-23,Completed
T4410,P002,SQ041,SH1117,Compositing,17,Low,2023-09-11,2023-09-22,Completed
T4411,P002,SQ041,SH1118,Animation,51,Medium,2023-09-15,2023-09-29,Completed
T4412,P002,SQ041,SH1118,CFX,29,High,2023-09-11,2023-09-18,Completed
T4413,P002,SQ041,SH1118,Lighting,40,Medium,2023-09-09,2023-09-30,Completed
T4414,P002,SQ041,SH1118,Compositing,24,Medium,2023-09-05,2023-09-28,Completed
T4415,P002,SQ041,SH1119,Lighting,6,Medium,2023-09-16,2023-09-20,Completed
T4416,P002,SQ041,SH1119,Compositing,7,Low,2023-09-16,2023-09-22,Completed
T4417,P002,SQ041,SH1120,Lighting,19,Medium,2023-09-24,2023-10-12,Completed
T4418,P002,SQ041,SH1120,Compositing,17,Low,2023-09-18,2023-10-04,Completed
T4419,P002,SQ041,SH1121,Animation,32,Medium,2023-09-19,2023-09-23,Completed
T4420,P002,SQ041,SH1121,Lighting,32,Medium,2023-09-19,2023-09-26,Completed
T4421,P002,SQ041,SH1121,Compositing,39,Medium,2023-09-18,2023-09-22,Completed
T4422,P002,SQ041,SH1122,Animation,10,Low,2023-09-11,2023-09-18,Completed
T4423,P002,SQ041,SH1122,Lighting,12,Low,2023-09-07,2023-09-18,Completed
T4424,P002,SQ041,SH1122,Compositing,7,Low,2023-09-10,2023-09-16,Completed
T4425,P002,SQ041,SH1123,Animation,40,Medium,2023-09-11,2023-09-22,Completed
T4426,P002,SQ041,SH1123,FX,56,Medium,2023-09-07,2023-10-19,Completed
T4427,P002,SQ041,SH1123,Lighting,38,Medium,2023-09-19,2023-09-30,Completed
T4428,P002,SQ041,SH1123,Compositing,32,Medium,2023-09-21,2023-09-25,Completed
T4429,P002,SQ041,SH1124,Lighting,15,Medium,2023-09-15,2023-09-30,Completed
T4430,P002,SQ041,SH1124,Compositing,18,Medium,2023-09-20,2023-09-27,Completed
T4431,P002,SQ041,SH1125,Animation,9,Low,2023-09-06,2023-09-09,Completed
T4432,P002,SQ041,SH1125,Lighting,6,Low,2023-09-07,2023-09-12,Completed
T4433,P002,SQ041,SH1125,Compositing,5,Low,2023-09-07,2023-09-10,Completed
T4434,P002,SQ041,SH1126,Animation,7,Low,2023-08-27,2023-09-21,Completed
T4435,P002,SQ041,SH1126,Lighting,15,Low,2023-09-03,2023-09-04,Completed
T4436,P002,SQ041,SH1126,Compositing,8,Low,2023-08-25,2023-09-16,Completed
T4437,P002,SQ041,SH1127,Animation,26,High,2023-08-26,2023-09-11,Completed
T4438,P002,SQ041,SH1127,CFX,27,Medium,2023-08-21,2023-08-25,Completed
T4439,P002,SQ041,SH1127,Lighting,31,High,2023-08-27,2023-08-29,Completed
T4440,P002,SQ041,SH1127,Compositing,36,High,2023-08-22,2023-08-23,Completed
T4441,P002,SQ041,SH1128,Animation,33,High,2023-09-17,2023-09-22,Completed
T4442,P002,SQ041,SH1128,FX,30,Medium,2023-09-17,2023-10-05,Completed
T4443,P002,SQ041,SH1128,Lighting,52,Medium,2023-09-23,2023-09-28,Completed
T4444,P002,SQ041,SH1128,Compositing,23,Medium,2023-09-22,2023-09-23,Completed
T4445,P002,SQ041,SH1129,Animation,8,Low,2023-09-06,2023-09-14,Completed
T4446,P002,SQ041,SH1129,Lighting,9,Low,2023-08-23,2023-08-25,Completed
T4447,P002,SQ041,SH1129,Compositing,17,Medium,2023-09-01,2023-10-02,Completed
T4448,P002,SQ041,SH1130,Animation,16,Medium,2023-09-19,2023-09-22,Completed
T4449,P002,SQ041,SH1130,Lighting,15,Medium,2023-09-15,2023-09-19,Completed
T4450,P002,SQ041,SH1130,Compositing,16,Low,2023-09-15,2023-09-18,Completed
T4451,P002,SQ041,SH1131,Animation,9,Low,2023-09-07,2023-09-16,Completed
T4452,P002,SQ041,SH1131,Lighting,15,Low,2023-09-17,2023-09-23,Completed
T4453,P002,SQ041,SH1131,Compositing,10,Low,2023-09-09,2023-09-30,Completed
T4454,P002,SQ041,SH1132,Animation,5,Low,2023-09-15,2023-10-04,Completed
T4455,P002,SQ041,SH1132,Lighting,10,Low,2023-09-20,2023-09-21,Completed
T4456,P002,SQ041,SH1132,Compositing,8,Low,2023-09-21,2023-09-24,Completed
T4457,P002,SQ041,SH1133,Modeling,142,High,2023-08-30,2023-09-14,Completed
T4458,P002,SQ041,SH1133,Rigging,72,High,2023-08-20,2023-08-27,Completed
T4459,P002,SQ041,SH1133,Animation,97,High,2023-09-02,2023-09-07,Completed
T4460,P002,SQ041,SH1133,CFX,152,Medium,2023-08-22,2023-08-23,Completed
T4461,P002,SQ041,SH1133,FX,151,Medium,2023-08-20,2023-09-08,Completed
T4462,P002,SQ041,SH1133,Lighting,173,High,2023-08-25,2023-09-18,Completed
T4463,P002,SQ041,SH1133,Compositing,74,High,2023-08-22,2023-08-26,Completed
T4464,P002,SQ041,SH1134,Animation,23,High,2023-08-25,2023-09-16,Completed
T4465,P002,SQ041,SH1134,CFX,42,Medium,2023-09-10,2023-09-21,Completed
T4466,P002,SQ041,SH1134,Lighting,20,High,2023-08-30,2023-09-12,Completed
T4467,P002,SQ041,SH1134,Compositing,50,Medium,2023-09-03,2023-09-11,Completed
T4468,P002,SQ041,SH1135,Lighting,7,Medium,2023-09-13,2023-09-15,Completed
T4469,P002,SQ041,SH1135,Compositing,9,Low,2023-09-08,2023-09-19,Completed
T4470,P002,SQ041,SH1136,Animation,19,Low,2023-09-10,2023-09-13,Completed
T4471,P002,SQ041,SH1136,Lighting,6,Low,2023-09-10,2023-09-13,Completed
T4472,P002,SQ041,SH1136,Compositing,12,Low,2023-09-10,2023-09-12,Completed
T4473,P002,SQ041,SH1137,Animation,5,Low,2023-09-05,2023-09-14,Completed
T4474,P002,SQ041,SH1137,Lighting,17,Medium,2023-09-05,2023-09-10,Completed
T4475,P002,SQ041,SH1137,Compositing,5,Medium,2023-09-09,2023-09-12,Completed
T4476,P002,SQ041,SH1138,Lighting,17,Medium,2023-09-11,2023-10-06,Completed
T4477,P002,SQ041,SH1138,Compositing,10,Medium,2023-09-23,2023-09-27,Completed
T4478,P002,SQ041,SH1139,Modeling,167,High,2023-09-04,2023-10-01,Completed
T4479,P002,SQ041,SH1139,Rigging,162,High,2023-09-04,2023-10-03,Completed
T4480,P002,SQ041,SH1139,Animation,96,High,2023-09-13,2023-09-20,Completed
T4481,P002,SQ041,SH1139,CFX,62,High,2023-09-16,2023-09-25,Completed
T4482,P002,SQ041,SH1139,FX,120,High,2023-09-07,2023-09-21,Completed
T4483,P002,SQ041,SH1139,Lighting,107,High,2023-09-09,2023-09-17,Completed
T4484,P002,SQ041,SH1139,Compositing,164,High,2023-09-09,2023-09-27,Completed
T4485,P002,SQ041,SH1140,Modeling,76,Medium,2023-09-05,2023-09-18,Completed
T4486,P002,SQ041,SH1140,Rigging,144,High,2023-08-19,2023-09-13,Completed
T4487,P002,SQ041,SH1140,Animation,178,High,2023-08-30,2023-09-03,Completed
T4488,P002,SQ041,SH1140,CFX,141,High,2023-08-23,2023-09-24,Completed
T4489,P002,SQ041,SH1140,FX,180,High,2023-09-06,2023-09-08,Completed
T4490,P002,SQ041,SH1140,Lighting,156,Medium,2023-08-28,2023-09-13,Completed
T4491,P002,SQ041,SH1140,Compositing,79,High,2023-08-17,2023-08-31,Completed
T4492,P002,SQ042,SH1141,Animation,52,Medium,2023-12-14,2024-01-05,Completed
T4493,P002,SQ042,SH1141,FX,45,Low,2023-12-07,2024-01-30,Completed
T4494,P002,SQ042,SH1141,Lighting,38,Medium,2023-12-03,2023-12-14,Completed
T4495,P002,SQ042,SH1141,Compositing,35,Medium,2023-12-18,2024-01-27,Completed
T4496,P002,SQ042,SH1142,Animation,30,Medium,2023-10-09,2023-10-23,Completed
T4497,P002,SQ042,SH1142,FX,50,High,2023-10-08,2023-10-22,Completed
T4498,P002,SQ042,SH1142,Lighting,34,Low,2023-10-12,2023-10-22,Completed
T4499,P002,SQ042,SH1142,Compositing,40,High,2023-10-12,2023-10-21,Completed
T4500,P002,SQ042,SH1143,Animation,35,Low,2023-12-11,2024-02-05,Completed
T4501,P002,SQ042,SH1143,FX,33,Low,2024-01-13,2024-01-23,Completed
T4502,P002,SQ042,SH1143,Lighting,50,Medium,2024-01-12,2024-03-01,Completed
T4503,P002,SQ042,SH1143,Compositing,57,Medium,2024-01-15,2024-02-08,Completed
T4504,P002,SQ042,SH1144,Animation,23,Medium,2023-11-27,2023-11-29,Completed
T4505,P002,SQ042,SH1144,CFX,38,High,2023-12-01,2023-12-05,Completed
T4506,P002,SQ042,SH1144,Lighting,25,Medium,2023-12-02,2023-12-19,Completed
T4507,P002,SQ042,SH1144,Compositing,58,Medium,2023-12-04,2023-12-10,Completed
T4508,P002,SQ042,SH1145,Animation,37,Low,2023-12-20,2023-12-21,Completed
T4509,P002,SQ042,SH1145,Lighting,54,Medium,2023-11-14,2023-12-18,Completed
T4510,P002,SQ042,SH1145,Compositing,44,Medium,2023-11-01,2024-01-16,Completed
T4511,P002,SQ042,SH1146,Animation,8,Medium,2023-09-22,2024-02-12,Completed
T4512,P002,SQ042,SH1146,Lighting,18,Medium,2023-09-26,2024-02-26,Completed
T4513,P002,SQ042,SH1146,Compositing,13,Medium,2023-11-22,2024-01-12,Completed
T4514,P002,SQ042,SH1147,Animation,8,Medium,2023-12-13,2024-02-04,Completed
T4515,P002,SQ042,SH1147,Lighting,6,Low,2023-12-20,2024-01-10,Completed
T4516,P002,SQ042,SH1147,Compositing,9,Low,2023-12-16,2024-01-08,Completed
T4517,P002,SQ042,SH1148,Animation,34,High,2023-11-26,2023-12-26,Completed
T4518,P002,SQ042,SH1148,Lighting,40,Medium,2023-12-05,2024-01-08,Completed
T4519,P002,SQ042,SH1148,Compositing,25,High,2023-11-29,2023-12-04,Completed
T4520,P002,SQ042,SH1149,Animation,49,Medium,2023-10-27,2023-11-21,Completed
T4521,P002,SQ042,SH1149,Lighting,58,Medium,2023-11-25,2024-01-09,Completed
T4522,P002,SQ042,SH1149,Compositing,29,Medium,2023-12-23,2024-01-27,Completed
T4523,P002,SQ042,SH1150,Lighting,16,Low,2023-11-29,2023-12-07,Completed
T4524,P002,SQ042,SH1150,Compositing,16,Medium,2023-11-22,2023-12-13,Completed
T4525,P002,SQ042,SH1151,Animation,10,Low,2023-12-08,2023-12-30,Completed
T4526,P002,SQ042,SH1151,Lighting,10,Low,2023-11-29,2024-01-03,Completed
T4527,P002,SQ042,SH1151,Compositing,6,Medium,2023-12-01,2023-12-13,Completed
T4528,P002,SQ042,SH1152,Animation,10,Low,2023-12-05,2024-02-21,Completed
T4529,P002,SQ042,SH1152,Lighting,19,Low,2023-12-03,2023-12-23,Completed
T4530,P002,SQ042,SH1152,Compositing,5,Medium,2023-12-19,2024-02-24,Completed
T4531,P002,SQ042,SH1153,Modeling,107,High,2023-12-22,2023-12-26,Completed
T4532,P002,SQ042,SH1153,Rigging,82,High,2023-11-09,2024-01-17,Completed
T4533,P002,SQ042,SH1153,Animation,198,High,2023-12-20,2024-01-03,Completed
T4534,P002,SQ042,SH1153,CFX,84,Medium,2023-11-04,2024-03-07,Completed
T4535,P002,SQ042,SH1153,FX,196,High,2023-09-16,2024-02-07,Completed
T4536,P002,SQ042,SH1153,Lighting,174,Medium,2023-10-27,2024-02-11,Completed
T4537,P002,SQ042,SH1153,Compositing,87,High,2023-10-16,2023-12-06,Completed
T4538,P002,SQ042,SH1154,Animation,52,Low,2023-12-18,2024-01-15,Completed
T4539,P002,SQ042,SH1154,Lighting,37,Medium,2024-01-23,2024-02-12,Completed
T4540,P002,SQ042,SH1154,Compositing,43,Medium,2023-12-20,2024-04-15,Completed
T4541,P002,SQ042,SH1155,Lighting,13,Low,2023-12-18,2024-01-09,Completed
T4542,P002,SQ042,SH1155,Compositing,17,Low,2023-12-10,2024-01-05,Completed
T4543,P002,SQ042,SH1156,Modeling,157,High,2023-11-03,2023-12-21,Completed
T4544,P002,SQ042,SH1156,Rigging,67,High,2023-12-11,2023-12-19,Completed
T4545,P002,SQ042,SH1156,Animation,180,Medium,2024-01-19,2024-03-12,Completed
T4546,P002,SQ042,SH1156,CFX,130,Medium,2023-11-08,2023-12-07,Completed
T4547,P002,SQ042,SH1156,FX,193,Medium,2023-12-18,2024-01-11,Completed
T4548,P002,SQ042,SH1156,Lighting,176,High,2024-01-24,2024-02-08,Completed
T4549,P002,SQ042,SH1156,Compositing,120,High,2023-11-08,2024-01-09,Completed
T4550,P002,SQ042,SH1157,Animation,26,Medium,2024-01-10,2024-01-22,Completed
T4551,P002,SQ042,SH1157,Lighting,29,High,2023-12-29,2024-01-24,Completed
T4552,P002,SQ042,SH1157,Compositing,43,Medium,2023-12-24,2023-12-27,Completed
T4553,P002,SQ042,SH1158,Animation,33,High,2023-10-16,2023-11-01,Completed
T4554,P002,SQ042,SH1158,Lighting,27,Medium,2023-10-31,2023-11-28,Completed
T4555,P002,SQ042,SH1158,Compositing,55,Medium,2023-09-21,2024-01-27,Completed
T4556,P002,SQ042,SH1159,Animation,7,Medium,2023-11-23,2023-11-26,Completed
T4557,P002,SQ042,SH1159,Lighting,11,Low,2023-11-24,2023-11-27,Completed
T4558,P002,SQ042,SH1159,Compositing,5,Medium,2023-11-22,2023-11-29,Completed
T4559,P002,SQ042,SH1160,Lighting,9,Medium,2023-11-22,2023-11-27,Completed
T4560,P002,SQ042,SH1160,Compositing,14,Low,2023-11-16,2023-12-10,Completed
T4561,P002,SQ042,SH1161,Animation,43,Medium,2023-09-23,2023-11-22,Completed
T4562,P002,SQ042,SH1161,CFX,47,High,2023-10-10,2023-11-03,Completed
T4563,P002,SQ042,SH1161,Lighting,32,Medium,2023-10-22,2023-10-30,Completed
T4564,P002,SQ042,SH1161,Compositing,34,Medium,2023-10-07,2023-11-22,Completed
T4565,P002,SQ042,SH1162,Animation,32,Medium,2023-12-23,2024-01-14,Completed
T4566,P002,SQ042,SH1162,Lighting,48,Low,2023-12-30,2024-01-20,Completed
T4567,P002,SQ042,SH1162,Compositing,28,Low,2023-12-30,2024-01-18,Completed
T4568,P002,SQ042,SH1163,Animation,55,Medium,2023-10-30,2023-11-23,Completed
T4569,P002,SQ042,SH1163,CFX,23,Medium,2023-11-25,2024-01-30,Completed
T4570,P002,SQ042,SH1163,Lighting,55,Medium,2023-10-27,2024-01-28,Completed
T4571,P002,SQ042,SH1163,Compositing,46,Medium,2023-10-22,2023-12-29,Completed
T4572,P002,SQ042,SH1164,Animation,9,Low,2023-10-11,2023-10-18,Completed
T4573,P002,SQ042,SH1164,Lighting,15,Low,2023-10-10,2023-11-10,Completed
T4574,P002,SQ042,SH1164,Compositing,9,Low,2023-10-17,2023-10-23,Completed
T4575,P002,SQ042,SH1165,Lighting,10,Low,2023-11-15,2023-12-30,Completed
T4576,P002,SQ042,SH1165,Compositing,9,Low,2023-11-13,2023-12-27,Completed
T4577,P002,SQ042,SH1166,Animation,11,Low,2023-11-17,2024-01-18,Completed
T4578,P002,SQ042,SH1166,Lighting,8,Medium,2023-11-03,2024-03-25,Completed
T4579,P002,SQ042,SH1166,Compositing,6,Low,2024-01-21,2024-01-22,Completed
T4580,P002,SQ042,SH1167,Animation,42,Low,2023-12-28,2024-01-23,Completed
T4581,P002,SQ042,SH1167,CFX,33,Medium,2023-12-14,2024-02-09,Completed
T4582,P002,SQ042,SH1167,Lighting,53,Medium,2023-11-27,2024-02-20,Completed
T4583,P002,SQ042,SH1167,Compositing,20,Low,2023-11-24,2023-12-18,Completed
T4584,P002,SQ042,SH1168,Animation,19,Medium,2023-11-04,2023-12-01,Completed
T4585,P002,SQ042,SH1168,Lighting,12,Medium,2023-11-19,2023-11-21,Completed
T4586,P002,SQ042,SH1168,Compositing,6,Low,2023-11-11,2023-11-15,Completed
T4587,P002,SQ042,SH1169,Modeling,103,High,2023-12-08,2024-01-04,Completed
T4588,P002,SQ042,SH1169,Rigging,188,High,2023-12-15,2024-02-19,Completed
T4589,P002,SQ042,SH1169,Animation,192,High,2023-12-11,2023-12-24,Completed
T4590,P002,SQ042,SH1169,CFX,60,High,2023-10-31,2024-02-10,Completed
T4591,P002,SQ042,SH1169,FX,150,High,2023-11-24,2024-02-27,Completed
T4592,P002,SQ042,SH1169,Lighting,192,High,2023-12-15,2024-01-14,Completed
T4593,P002,SQ042,SH1169,Compositing,99,Medium,2023-10-30,2023-11-14,Completed
T4594,P002,SQ042,SH1170,Lighting,5,Medium,2023-09-30,2023-11-09,Completed
T4595,P002,SQ042,SH1170,Compositing,16,Low,2023-10-08,2023-11-06,Completed
